Channel 1,Channel 2,Channel 3
-1000,-1004,-29
-1000,-1006,-29
-1000,-1006,-29
-1000,-1005,-29
-1000,-1004,-29
-1000,-1003,-29
-1000,-1003,-29
-1000,-1004,-29
-1000,-1004,-29
-1000,-1002,-29
-1000,-1003,-29
-1000,-1003,-29
-1000,-1003,-29
-1000,-1005,-29
-1000,-1003,-29
-1000,-1002,-29
-1000,-1003,-29
-1000,-1002,-29
-1000,-1003,-29
-1000,-1002,-29
-1000,-1001,-29
-1000,-1003,-29
-1000,-1001,-29
-1000,-1000,-29
-1000,-1001,-29
-1000,-1001,-29
-1000,-999,-29
-1000,-1000,-29
-1000,-1002,-29
-1000,-1002,-29
-1000,-1001,-29
-1000,-1001,-29
-1000,-1002,-29
-1000,-1001,-29
-1000,-1001,-29
-1000,-1001,-29
-1000,-1002,-29
-1000,-1000,-29
-1000,-1001,-29
-1000,-1001,-29
-1000,-1002,-29
-1000,-1001,-29
-1000,-1001,-29
-1000,-1002,-29
-1000,-999,-29
-1000,-999,-29
-1000,-999,-29
-1000,-999,-29
-1000,-1000,-29
-1000,-999,-29
-1000,-999,-29
-1000,-1000,-29
-1000,-1000,-29
-1000,-999,-29
-1000,-999,-29
-1000,-1000,-29
-1000,-1000,-29
-1000,-1001,-29
-1000,-1002,-29
-1000,-1001,-29
-1000,-1001,-29
-1000,-1000,-29
-1000,-1000,-29
-1000,-1001,-29
-1000,-1001,-29
-1000,-1001,-29
-1000,-1000,-29
-1000,-1000,-29
-1000,-1000,-29
-1000,-1000,-29
-1000,-1001,-29
-1000,-1000,-29
-1000,-1000,-29
-1000,-1000,-29
-1000,-998,-29
-1000,-999,-29
-1000,-999,-29
-1000,-999,-29
-1000,-999,-29
-1000,-999,-29
-1000,-999,-29
0,-998,14
0,-970,14
0,-930,14
0,-891,14
0,-854,13
0,-818,13
0,-784,13
0,-751,13
0,-717,12
0,-687,12
0,-656,12
0,-627,11
0,-598,11
0,-572,11
0,-547,11
0,-521,10
0,-497,10
0,-475,10
0,-453,10
0,-430,9
0,-409,9
0,-390,9
0,-370,9
0,-352,8
0,-335,8
0,-319,8
0,-303,8
0,-287,7
0,-273,7
0,-257,7
0,-243,7
0,-228,6
0,-217,6
0,-202,6
0,-191,6
0,-180,6
0,-167,5
0,-156,5
0,-145,5
0,-136,5
0,-125,4
0,-114,4
0,-106,4
0,-95,4
