T = 72 sec			-> Ukupno vrijeme uzimanja uzoraka
fs = 10 Hz			-> Frekvencija uzimanja uzoraka
omega = 20 deg/s	-> Kutna brzina
n = [1, -1, 0]		-> Nenormalizirani vektor osi rotacije

Legenda:
	a_i	-> Mjerenje akcelerometra u inercijalnom sustavu (x, y, i z komponenta)
	m_i	-> Mjerenje magnetometra u inercijalnom sustavu (x, y, i z komponenta)
	w_i	-> Mjerenje ziroskopa u inercijalnom sustavu (x, y, i z komponenta)
	a_b	-> Mjerenje akcelerometra u sustavu tijela (x, y, i z komponenta)
	m_b	-> Mjerenje magnetometra u sustavu tijela (x, y, i z komponenta)
	w_b	-> Mjerenje ziroskopa u sustavu tijela (x, y, i z komponenta)
	qib	-> Kvaternion rotacije iz inercijalnog u sustav tijela (cetiri komponente)

Format podataka:
------------------------------------------------------------------------------------------------------------------------------------------------------
a_i_x, a_i_y, a_i_z, m_i_x, m_i_y, m_i_z, w_i_x, w_i_y, w_i_z, a_b_x, a_b_y, a_b_z, m_b_x, m_b_y, m_b_z, w_b_x, w_b_y, w_b_z, qib1, qib2, qib3, qib4
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.5972,6.5972,-3.0315,35.2729,14.7729,-29.2677,0.2468,-0.2468,0.0000,0.5878,0.5721,-0.5721,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.5184,6.5184,-3.3552,34.5354,14.0354,-30.4849,0.2468,-0.2468,0.0000,0.5736,0.5792,-0.5792,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.4316,6.4316,-3.6749,33.7683,13.2683,-31.6650,0.2468,-0.2468,0.0000,0.5592,0.5862,-0.5862,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.3370,6.3370,-3.9901,32.9726,12.4726,-32.8064,0.2468,-0.2468,-0.0000,0.5446,0.5930,-0.5930,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.2347,6.2347,-4.3004,32.1492,11.6492,-33.9079,0.2468,-0.2468,0.0000,0.5299,0.5997,-0.5997,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.1248,6.1248,-4.6055,31.2991,10.7991,-34.9681,0.2468,-0.2468,-0.0000,0.5150,0.6061,-0.6061,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,6.0074,6.0074,-4.9050,30.4233,9.9233,-35.9857,0.2468,-0.2468,0.0000,0.5000,0.6124,-0.6124,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,5.8827,5.8827,-5.1985,29.5230,9.0230,-36.9594,0.2468,-0.2468,0.0000,0.4848,0.6184,-0.6184,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,5.7508,5.7508,-5.4857,28.5992,8.0992,-37.8881,0.2468,-0.2468,0.0000,0.4695,0.6243,-0.6243,0.0000
0.0000,0.0000,9.8100,22.2000,1.7000,42.7000,0.2468,-0.2468,0.0000,5.6119,5.6119,-5.7662,27.6530,7.1530,-38.7707,0.2468,-0.2468,0.0000,0.4540,0.6300,-0.6300,0.0000
