wx,wy,wz
-1,8,-8
9,7,-7
13,-1,-61
10,-10,-148
6,-16,-234
6,-21,-317
19,-21,-413
33,-19,-492
42,-20,-567
46,-27,-640
46,-39,-714
42,-48,-783
43,-53,-852
49,-51,-919
54,-43,-984
60,-42,-1046
69,-46,-1106
70,-55,-1166
76,-71,-1223
75,-77,-1278
82,-78,-1332
80,-74,-1385
78,-68,-1436
79,-68,-1486
87,-73,-1532
98,-83,-1576
108,-89,-1622
111,-92,-1665
105,-94,-1707
99,-95,-1751
96,-96,-1790
102,-99,-1830
116,-96,-1867
121,-92,-1902
126,-95,-1938
123,-101,-1974
124,-115,-2006
125,-121,-2037
131,-120,-2069
128,-115,-2100
123,-108,-2131
123,-107,-2158
129,-114,-2185
140,-120,-2210
152,-121,-2234
152,-122,-2260
145,-124,-2283
137,-131,-2307
136,-137,-2328
140,-137,-2350
147,-129,-2371
148,-121,-2392
148,-120,-2411
152,-127,-2430
158,-137,-2448
166,-141,-2466
167,-140,-2483
160,-139,-2499
151,-141,-2517
148,-145,-2534
153,-145,-2548
162,-139,-2563
168,-131,-2578
166,-130,-2591
165,-139,-2605
172,-150,-2616
175,-155,-2627
177,-153,-2640
170,-148,-2653
161,-149,-2665
159,-150,-2676
166,-153,-2685
175,-147,-2696
179,-141,-2706
178,-141,-2715
176,-151,-2724
178,-159,-2734
184,-164,-2742
181,-159,-2751
178,-155,-2760
167,-154,-2769
166,-157,-2778
175,-157,-2785
182,-153,-2792
186,-147,-2799
185,-150,-2806
182,-157,-2811
187,-167,-2818
189,-170,-2823
188,-165,-2829
180,-158,-2834
172,-159,-2841
173,-161,-2845
181,-159,-2848
190,-153,-2854
191,-150,-2857
189,-152,-2862
186,-162,-2865
190,-169,-2868
193,-172,-2872
187,-167,-2877
179,-162,-2881
173,-164,-2885
176,-168,-2889
185,-166,-2891
192,-158,-2894
192,-151,-2899
190,-154,-2901
189,-166,-2904
193,-174,-2905
197,-173,-2907
193,-166,-2911
183,-162,-2914
178,-166,-2917
182,-168,-2919
192,-165,-2919
198,-158,-2922
196,-155,-2924
191,-160,-2924
192,-173,-2926
199,-177,-2927
200,-174,-2928
194,-166,-2932
181,-164,-2935
177,-169,-2936
184,-171,-2937
195,-165,-2938
199,-157,-2939
196,-155,-2940
191,-162,-2940
196,-175,-2940
202,-179,-2939
201,-173,-2940
191,-167,-2942
180,-167,-2943
177,-172,-2943
186,-172,-2944
196,-164,-2944
199,-155,-2944
194,-154,-2945
191,-164,-2945
198,-176,-2946
205,-178,-2945
204,-172,-2946
192,-166,-2947
180,-168,-2949
179,-174,-2948
189,-172,-2948
198,-162,-2949
196,-154,-2949
191,-156,-2948
192,-168,-2948
199,-176,-2946
204,-176,-2946
200,-168,-2947
189,-168,-2948
181,-171,-2948
184,-176,-2949
192,-171,-2948
198,-160,-2948
195,-154,-2947
190,-159,-2947
192,-170,-2945
200,-176,-2944
205,-174,-2943
195,-168,-2944
184,-168,-2944
180,-173,-2944
184,-175,-2944
192,-167,-2944
196,-157,-2944
192,-154,-2943
190,-162,-2943
197,-172,-2941
205,-175,-2939
205,-170,-2938
196,-166,-2938
184,-170,-2939
181,-176,-2938
187,-175,-2937
195,-165,-2936
194,-156,-2936
188,-155,-2936
188,-163,-2933
198,-172,-2932
205,-173,-2930
204,-168,-2929
192,-166,-2929
181,-173,-2927
182,-177,-2927
190,-171,-2926
193,-159,-2926
189,-152,-2925
185,-155,-2924
191,-167,-2921
202,-173,-2918
207,-169,-2917
199,-164,-2916
186,-167,-2916
180,-175,-2917
186,-177,-2914
192,-168,-2915
191,-156,-2914
186,-151,-2913
184,-159,-2912
193,-168,-2911
205,-170,-2908
207,-165,-2907
198,-163,-2907
182,-170,-2907
177,-181,-2906
184,-181,-2905
189,-168,-2905
186,-155,-2905
180,-150,-2904
180,-159,-2902
191,-167,-2900
204,-167,-2898
203,-161,-2897
192,-162,-2896
182,-170,-2895
181,-178,-2893
188,-176,-2891
192,-163,-2891
184,-153,-2891
179,-152,-2890
183,-161,-2889
193,-168,-2885
203,-165,-2883
200,-160,-2881
190,-160,-2881
184,-169,-2880
184,-177,-2879
190,-173,-2878
190,-162,-2877
185,-155,-2877
177,-156,-2877
182,-163,-2875
193,-167,-2873
198,-163,-2871
195,-158,-2870
186,-162,-2869
180,-170,-2868
183,-175,-2865
189,-169,-2864
187,-157,-2865
180,-152,-2865
178,-155,-2863
183,-162,-2861
194,-164,-2860
200,-159,-2858
194,-156,-2857
184,-162,-2856
181,-172,-2854
186,-176,-2855
190,-166,-2853
185,-156,-2853
177,-153,-2853
175,-158,-2852
183,-165,-2850
194,-161,-2849
195,-155,-2794
184,-152,-2717
169,-161,-2643
157,-170,-2571
151,-165,-2500
147,-151,-2433
135,-128,-2368
125,-116,-2304
123,-114,-2240
133,-116,-2178
145,-118,-2116
145,-115,-2056
135,-114,-2000
113,-118,-1945
98,-119,-1892
95,-116,-1841
97,-103,-1790
101,-83,-1741
105,-73,-1693
102,-74,-1645
102,-88,-1597
102,-100,-1552
98,-100,-1509
87,-93,-1467
74,-79,-1429
64,-68,-1389
65,-64,-1351
75,-66,-1311
89,-68,-1274
94,-70,-1236
85,-70,-1202
64,-69,-1168
48,-71,-1136
46,-67,-1104
52,-59,-1072
61,-45,-1042
76,-37,-1010
80,-42,-980
68,-54,-944
63,-68,-913
73,-64,-818
56,-58,-778
101,-29,-584
175,-5,-221
56,6,-35
-132,24,65
-242,20,160
-229,28,178
-114,19,101
42,-9,-37
180,-23,-141
231,-13,-171
170,-11,-119
17,0,-22
-130,19,74
-198,23,152
-178,14,149
-81,9,46
55,5,-51
162,-11,-110
181,-10,-124
103,-5,-87
-7,3,3
-106,11,86
-137,2,129
-104,3,87
-15,7,13
75,-4,-48
109,-8,-85
81,0,-75
22,-3,-14
-47,0,29
-75,9,55
-58,3,48
-11,4,5
39,-5,-24
60,-6,-38
30,-2,-29
-6,-2,3
-33,2,13
-27,-2,23
-7,0,13
9,3,-15
27,-1,-20
22,0,-13
-5,2,-3
-20,-3,9
-12,2,3
0,2,-2
10,1,1
5,-1,-4
1,3,-9
6,2,7
-6,-2,6
-6,0,12
0,-1,-4
8,-6,-4
11,-3,2
0,-5,-10
-7,-2,-5
-5,-5,9
-9,-7,10
-12,2,-5
1,-6,0
9,1,-13
12,-2,-11
2,-1,7
-21,4,3
-23,0,20
-17,2,10
-3,-1,-6
12,1,0
12,4,-25
17,0,-21
9,0,-8
-7,0,-15
0,-3,2
-11,-34,-30
-45,-78,-58
-2,-33,-52
35,31,-48
42,73,-43
16,60,-41
-21,5,-41
-44,-55,-39
-37,-79,-36
-3,-48,-35
31,12,-36
44,62,-38
26,69,-38
-10,21,-38
-40,-42,-36
-38,-77,-34
-9,-59,-32
28,0,-33
47,57,-34
34,73,-35
0,37,-37
-33,-26,-36
-40,-74,-32
-16,-69,-30
18,-17,-31
44,45,-33
38,75,-35
6,50,-36
-27,-10,-33
-41,-66,-31
-24,-76,-29
