magx,magy,magz
0.2393,-0.9511,-0.1955
0.3732,-0.8963,-0.2397
0.7036,-0.2129,-0.678
0.4337,0.4906,-0.7558
0.4337,0.4906,-0.7558
0.4557,0.3716,-0.8089
0.5397,0.1595,-0.8266
0.5808,0.095,-0.8085
0.5814,0.1441,-0.8008
0.6165,0.2044,-0.7603
0.6165,0.2044,-0.7603
0.6221,0.2567,-0.7397
0.6012,0.3044,-0.7389
0.5964,0.3298,-0.7318
0.5568,0.3963,-0.73
0.5568,0.3963,-0.73
0.5728,0.4537,-0.6827
0.6105,0.407,-0.6794
0.6281,0.4134,-0.6592
0.5922,0.4509,-0.6678
0.5922,0.4509,-0.6678
0.6786,0.4068,-0.6115
0.8127,0.2557,-0.5236
0.9173,-0.0521,-0.3947
0.8745,-0.3797,-0.3019
0.8745,-0.3797,-0.3019
0.7621,-0.6266,-0.1632
0.7621,-0.6266,-0.1632
0.2511,-0.9277,-0.2762
0.1247,-0.8388,-0.5299
0.1247,-0.8388,-0.5299
0.2296,-0.5053,-0.8318
0.3823,-0.0138,-0.9239
0.4323,0.3801,-0.8177
0.419,0.5092,-0.7518
0.419,0.5092,-0.7518
0.4041,0.4797,-0.7788
0.4039,0.4856,-0.7753
0.3941,0.5124,-0.763
0.4941,0.5038,-0.7085
0.4941,0.5038,-0.7085
0.7341,0.3683,-0.5705
0.9075,-0.146,-0.3939
0.7505,-0.6381,-0.1716
0.5375,-0.8348,-0.1189
0.5375,-0.8348,-0.1189
0.4299,-0.868,-0.2486
0.3389,-0.77,-0.5406
0.2505,-0.4201,-0.8722
0.2013,0.1633,-0.9658
0.2013,0.1633,-0.9658
0.3825,0.4885,-0.7842
0.6507,0.3995,-0.6458
0.729,0.3067,-0.6119
0.6935,0.3684,-0.6192
0.6935,0.3684,-0.6192
0.5459,0.4868,-0.6819
0.4592,0.4999,-0.7344
0.8087,0.2011,-0.5528
0.7027,-0.705,-0.0954
0.7027,-0.705,-0.0954
0.4196,-0.8677,-0.2663
0.2447,-0.7101,-0.6603
0.1964,-0.1602,-0.9674
0.3131,0.4024,-0.8603
0.3131,0.4024,-0.8603
0.7319,0.3459,-0.5871
0.9043,-0.1494,-0.3999
0.8053,-0.5676,-0.1711
0.5962,-0.7788,-0.1951
0.5962,-0.7788,-0.1951
0.3834,-0.8162,-0.4321
0.2642,-0.5515,-0.7912
0.1635,0.0344,-0.986
0.3118,0.4965,-0.8101
0.3118,0.4965,-0.8101
0.7668,0.2342,-0.5976
0.7575,-0.6246,-0.19
